age	prescription	astigmatic	tear_rate	lenses
discrete	discrete	discrete	discrete	discrete
				class
young	myope	no	reduced	none
	myope	no	normal	soft
young	myope	yes	reduced	none
young		yes	normal	hard
young		no	reduced	none
young	hypermetrope	no	normal	soft
young	hypermetrope		reduced	none
young		yes	normal	hard
pre-presbyopic	myope	no	reduced	none
pre-presbyopic	myope	no	normal	soft
pre-presbyopic	myope	yes	reduced	none
pre-presbyopic	myope	yes	normal	hard
	hypermetrope	no		none
pre-presbyopic	hypermetrope	no	normal	soft
pre-presbyopic	hypermetrope	yes	reduced	none
pre-presbyopic	hypermetrope	yes	normal	none
	myope	no	reduced	none
presbyopic	myope	no	normal	none
presbyopic	myope	yes	reduced	none
	myope	yes	normal	hard
	hypermetrope	no	reduced	none
presbyopic	hypermetrope	no	normal	soft
presbyopic		yes	reduced	none
presbyopic	hypermetrope	yes	normal	none
